iata,a_m2,a_mA,a_mD,a_s2,a_sA,a_sD,a_d2,a_dA,a_dD,a_i2,a_iA,a_iD,p_m2,p_mA,p_mD,p_s2,p_sA,p_sD,p_d2,p_dA,p_dD,p_i2,p_iA,p_iD,ndays
TFU,386411.9999999998,193253.99999999997,193157.9999999993,66672358.99999997,33337118.99999992,33335240.00000008,58834546.00000013,29425838.999999873,29408707.00000003,7837812.999999902,3911280.0000000233,3926533.000000015,88.52142857142857,49.70853035853035,57.44523809523809,15063.533333333335,8652.920615495615,10318.923809523809,14128.761904761906,8042.2842518592515,10128.638095238093,3419.2307692307695,3383.2307692307695,2625.144047619048,365
CLT,525886.000000001,262940.00000000035,262945.9999999999,65733834.99999994,32867266.999999933,32866567.9999999,59586631.000000186,29793728.999999765,29792901.999999978,6147204.000000024,3073537.99999999,3073666.0000000168,136.62481141153486,100.62493599508035,103.49343528041655,16831.067642782735,12145.361605591723,12541.45464587831,14408.507305074038,11150.96518971225,10734.402310238782,3463.4548838258515,2188.368666323455,3463.4548838258515,365
DEL,457228.99999999756,228718.0,228511.00000000148,91118130.99999955,45587851.99999965,45530279.00000024,65559373.00000004,32795483.99999993,32763888.999999966,25558758.00000008,12792367.999999993,12766390.000000013,86.3069597069597,46.66154956154956,45.197721722721724,16525.2663003663,9397.094039294041,9136.94314019314,13399.30174825175,7387.710722610722,7259.011055611057,5676.279204129203,3241.5047619047605,3031.357264957265,365
PEK,434477.0000000008,217028.0000000006,217449.00000000047,90462703.00000015,45179661.99999989,45283041.000000134,68598673.0000001,34270402.0000001,34328271.00000007,21864029.999999933,10909260.000000013,10954770.000000015,81.45470917970918,56.22720057720058,60.98041958041957,17698.120634920633,11248.333596958599,13171.522594072594,14638.352777777778,10338.338492063493,10808.042926517926,6228.0513986013975,6228.0513986013975,4400.592424242424,365
CDG,434975.0000000011,217428.00000000102,217547.00000000044,85994876.9999996,42979322.99999998,43015553.99999979,7242709.000000027,3621475.999999993,3621232.999999996,78752167.9999993,39357846.999999896,39394321.00000043,112.83677970722087,67.3201026357271,65.96344008932246,23132.650362839777,12788.589382850598,14594.02270329937,2778.678265992816,1700.1960299737257,2208.4059523809524,21756.927849013733,12140.53642998482,14015.783852549306,365
DXB,446142.0000000002,223136.00000000096,223005.99999999994,124288916.00000052,62162639.00000052,62126276.99999989,4424.000000000001,0.0,4424.000000000001,124284492.00000031,62162639.00000052,62121852.99999988,68.27248426945472,40.11441714233357,46.59611893482861,22548.036506030337,15753.052929741516,17415.53822253016,107.03225806451613,0.0,107.03225806451613,22548.036506030337,15753.052929741516,17415.53822253016,365
LHR,481088.999999999,240556.00000000015,240533.00000000067,104160958.00000031,52084062.99999923,52076895.00000005,6287682.000000004,3143845.000000024,3143836.999999998,97873276.00000031,48940217.99999955,48933058.00000053,95.96201249730662,49.641207589387186,49.28028011204481,21192.88360894008,12972.020396081709,11286.167816497225,2265.5095238095237,1350.1623931623933,1224.2220941683015,20456.461386717856,12972.020396081709,10759.167816497225,365
BOM,324396.0000000024,162129.99999999913,162265.99999999898,64803674.99999962,32389081.99999996,32414592.99999957,44837712.99999973,22411857.99999993,22425854.99999987,19965961.999999844,9977224.000000013,9988737.999999946,49.12611000111001,32.790578865578865,37.25869408369408,9846.760902985903,6789.8044733044735,7646.939255189255,8040.216872016872,4892.945238095238,5695.806138306139,7738.814285714285,4405.631746031746,4052.2142857142853,365
DEN,679077.0000000012,339512.00000000023,339564.99999999825,98864785.99999845,49431753.999999985,49433031.999999814,92849618.99999903,46424772.00000001,46424846.99999994,6015167.000000034,3006982.0000000126,3008184.999999963,199.19284158519784,123.53620173536346,127.44156793826245,28503.68945813177,18404.629455511807,18538.522519702525,27925.380409916877,17701.86278884514,17592.151091131098,3875.269775646556,2621.624614356232,1905.5886863020096,365
FRA,426990.99999999884,213284.00000000084,213706.99999999852,80988664.99999979,40451001.00000031,40537663.99999987,8574166.0,4268091.000000009,4306074.999999984,72414498.99999954,36182910.00000008,36231589.0,109.55384841511574,61.21489064856712,61.42347782936018,20103.142924004103,11816.511894216896,13629.914581127852,3708.8433847198557,2155.9675102675105,1823.6946498372326,18227.75861968097,11004.730118213678,12964.586472843223,365
AMS,462345.0000000017,231176.00000000114,231169.0000000003,81764105.00000012,40880763.999999374,40883340.99999977,213.0,213.0,0.0,81763892.00000012,40880550.999999374,40883340.99999977,132.6152800725652,93.34123935323952,69.59862806794784,21418.212216360727,15813.950087271469,12331.81600686895,53.25,53.25,0.0,21418.212216360727,15813.950087271469,12331.81600686895,365
PHX,429508.99999999977,214759.00000000044,214749.9999999997,64056071.00000029,32029336.999999728,32026734.00000003,60536231.00000022,30268952.999999832,30267278.00000014,3519840.0000000354,1760384.0000000042,1759455.9999999946,130.16481484129574,75.47865107251708,83.31752764244482,19241.006870311394,10768.138166735225,12165.263820524216,17855.442011633633,10330.66637186343,10903.505413459357,1942.4375784388885,1247.5482142857145,1908.1149977937257,365
DFW,724068.9999999955,362030.9999999995,362037.99999999936,102407117.99999958,51203230.00000031,51203888.0000001,86681423.00000069,43341141.999999724,43340280.99999996,15725695.000000231,7862088.000000021,7863606.99999997,201.94217442688029,121.32175171233993,126.65900827715036,27559.83699032993,16467.99445900505,16379.775524920382,23129.479783223313,13574.448059783354,14220.82316703874,6225.314008222922,4083.944344999818,4510.302208836047,365
MIA,379554.0000000028,189754.99999999997,189798.99999999919,65451132.00000041,32721539.99999983,32729591.999999788,34888401.9999999,17444391.00000003,17444010.99999996,30562730.000000056,15277148.999999972,15285581.000000302,103.9928024422019,54.82842671729597,65.23798592058549,18627.319321350486,9341.984018165831,10437.449404761905,11235.684532516865,5653.436091113585,5952.7592030192645,11340.66867020982,7146.118542497668,8699.874907331314,365
JED,283148.0000000026,141193.00000000055,141954.99999999936,62056210.99999999,30900942.99999998,31155267.99999996,20220599.999999955,10126459.000000032,10094141.000000048,41835610.99999977,20774483.99999997,21061127.00000003,53.069834380568736,33.33286243773002,32.66785714285714,13451.35936285822,7857.968486902251,9557.730896790237,4169.833605581784,2747.6647343801046,2574.0417452018473,11127.515237424395,6281.019689460867,8369.524222614831,365
SZX,417099.9999999994,208543.9999999995,208555.99999999968,79334897.00000007,39657010.999999814,39677886.00000007,71105822.00000001,35540372.00000022,35565450.000000186,8229074.999999986,4116639.000000006,4112435.9999999707,77.55256965256964,48.584371184371186,52.624078699078694,15016.460914085916,9173.192857142858,9707.04314019314,13962.082678432678,9010.51525141525,9228.419871794873,2448.7124999999996,1880.7448717948719,1558.7070374070372,365
MNL,296574.9999999989,148297.9999999992,148276.99999999936,63886324.00000017,31942715.000000026,31943608.999999925,33527805.99999991,16762153.000000047,16765652.999999976,30358517.999999914,15180562.00000005,15177955.999999927,48.66428571428571,27.67048507048507,32.81686785436786,11504.476212676213,6426.262524975025,6823.7591144966145,7347.5706515706515,4143.53325008325,4799.368253968254,7418.753060828062,4491.466269841269,4591.541017316017,365
DMK,206309.0000000002,103157.99999999956,103151.00000000017,39743501.00000003,19872659.000000037,19870842.00000005,23645363.00000005,11823141.000000015,11822222.000000058,16098138.000000063,8049518.000000026,8048619.999999997,50.14682539682539,29.265873015873012,29.509126984126986,10310.714285714286,6131.857142857143,5751.557051282051,6466.594255744256,4008.3351925851925,3847.1916666666666,4960.6,2751.2738095238087,3093.6000000000004,365
SHA,284137.9999999994,142038.9999999986,142098.9999999999,59112828.0000002,29550394.000000056,29562434.00000003,55167185.00000032,27577587.00000006,27589597.999999978,3945643.000000012,1972806.9999999898,1972835.9999999972,60.49309856809857,40.840476190476195,39.48227605727605,12861.504156954157,8681.095238095237,8118.069486069486,11966.199657287158,7993.435053835054,7943.6908341658345,2054.9064102564093,1265.1428571428578,1282.752380952381,365
SYD,284821.9999999995,142432.00000000006,142390.00000000047,52409020.00000011,26215695.99999988,26193323.999999955,30664604.00000003,15343509.000000015,15321094.99999994,21744415.999999788,10872186.999999981,10872228.999999918,81.18760374754811,45.580982248825734,44.61966151495564,13979.074963198182,8447.437376823025,8395.238217653241,8647.698107290136,4365.924924590484,4600.327735010088,7760.721653118123,6414.501140297611,5508.657142857142,365
LGA,356747.00000000134,178367.00000000052,178379.99999999956,41438912.999999866,20719177.999999978,20719735.00000025,39303591.000000045,19651603.99999997,19651987.000000056,2135322.000000027,1067574.0000000084,1067748.000000002,85.02334361777042,44.75691418951094,51.41293646029011,10307.687271464241,5243.624534354534,6260.69637323354,9735.118252078375,5078.375763995983,5941.859639337885,882.8506160506163,454.8957819957823,490.92557638440076,365
YYZ,345606.000000002,172519.99999999904,173086.0000000008,56242794.00000023,28023374.999999817,28219418.999999736,20990846.999999784,10494931.999999972,10495915.000000082,35251947.000000246,17528443.00000006,17723503.99999981,83.05908013555073,47.83364596188125,52.6650191638427,14761.820121969533,8374.069030243058,8432.969047619048,6235.980243717408,3943.3290337113867,4539.908377896613,10537.101116767713,6348.518104559047,5531.965476190477,365
MEX,295572.00000000215,148442.00000000015,147129.9999999997,52198367.0000006,26273911.000000063,25924456.00000013,31485834.00000002,15747896.999999896,15737937.000000086,20712533.0000001,10526013.999999877,10186518.999999987,58.78539871857949,36.13025597385972,48.44826976944624,11256.78787628361,6852.742664066411,8456.423025210082,7810.532731973908,5042.258616546852,7090.03621202327,6244.143700527933,3500.0759964451936,3518.963105143412,365
ORY,219072.0000000007,109558.00000000009,109513.9999999998,42339514.99999969,21171948.999999914,21167566.0000001,7553084.999999973,3776383.9999999986,3776701.0000000014,34786430.00000005,17395564.999999896,17390865.000000186,63.89826643944291,39.359172862448155,35.12163466889975,11982.613122553195,7307.507101734025,6679.316091015109,3520.6370340443873,2518.006737812051,1824.187908496732,10138.118709734305,6797.740435067359,5781.23839235868,365
CPH,236772.00000000128,118417.00000000022,118355.00000000016,39420544.99999984,19715911.999999836,19704633.000000115,2133132.0000000126,1066392.0,1066740.0000000012,37287413.00000056,18649519.999999963,18637892.999999944,74.913440285205,42.03890310036277,52.724230671289504,11825.445026476791,6528.44211931859,7807.6928757517,1356.2441822883,1025.2165011459128,544.2319885996357,11212.454350486116,6212.746458873134,7409.108260367085,365
MEL,231177.00000000003,115446.99999999971,115730.00000000023,44412205.99999986,22185549.999999974,22226656.000000205,29383642.999999966,14674134.999999914,14709507.999999981,15028563.00000004,7511414.999999993,7517147.999999995,56.30176579275794,27.651791362232537,35.82781574003681,10435.80396296514,5064.034523809523,6247.939962419336,7090.450220629045,3795.6624738007094,4690.9429677512035,4378.007865625668,3133.501557049913,2405.402701220348,365
LGW,248983.00000000146,124511.00000000004,124472.00000000175,47985567.999999724,23996295.00000006,23989273.000000145,3594044.000000008,1797007.9999999942,1797036.0000000056,44391523.99999989,22199287.000000134,22192236.99999987,55.30981292563018,33.20253357753357,35.49622926093514,11352.284975715098,5946.136904761905,6435.690476190477,1810.9722434428318,1197.0261425581791,1302.7786891979113,10854.284975715098,5810.133333333333,6201.746606334842,365
FLL,235104.99999999715,117580.99999999994,117523.99999999983,40339338.99999985,20172714.000000093,20166624.999999873,31016016.000000123,15511070.000000063,15504946.000000013,9323322.999999981,4661643.999999995,4661679.000000086,81.68936723934922,41.4931796159752,43.53529407507193,13548.49482484506,7416.299804597216,7614.744642857142,10604.53221808234,7069.954891445852,6847.601785714285,5440.344666777958,2788.4739333806856,4144.717458469636,365
SVO,206881.00000000073,103425.99999999924,103454.9999999995,39362532.00000008,19677958.99999997,19684573.00000001,24398471.999999847,12200447.999999972,12198023.999999981,14964060.000000054,7477511.000000046,7486548.999999994,47.714995781978274,26.237828968417205,30.825286626330872,9231.424793166683,5152.734731095737,5432.5654087542825,6864.801916253681,4047.930364406835,3937.398474935003,4743.577744020685,3103.911904761905,3112.2847914767644,365
BOG,339404.999999998,170037.0000000012,169368.00000000108,56891292.00000017,28569253.999999803,28322037.99999977,36540295.000000075,18249104.999999866,18291189.99999999,20350997.00000009,10320148.999999996,10030848.000000171,65.40050031667678,36.200834139573345,38.16567309921818,10825.426830685654,6676.621840708312,6072.473369898076,8437.916745346158,5119.144316794317,5500.767301522008,4532.066335814723,3805.558214187246,3781.4422561208917,365
BLR,272302.9999999998,136135.00000000023,136168.00000000015,50893520.999999985,25442578.000000156,25450943.000000045,42533055.99999995,21268328.000000034,21264727.99999995,8360465.000000066,4174249.999999994,4186214.999999965,57.00505050505051,35.37008547008548,32.894327894327894,10296.541336441336,6122.9931623931625,5765.911022311023,9565.058119658119,5584.548717948718,5284.10303030303,2748.5872294372293,1875.0666666666666,1796.2543123543123,365
CAI,197537.00000000017,98663.99999999993,98872.9999999987,37528848.00000005,18744015.99999987,18784831.999999944,2997984.000000034,1509573.0000000054,1488411.000000014,34530864.000000164,17234442.99999988,17296421.00000004,42.66213978831626,27.80352218535298,26.838109792455555,7649.067261904761,5281.189314355449,4968.2549408469395,2231.4102886002884,1504.9748319002176,1707.740598290598,7196.656471110588,4988.389314355449,4968.2549408469395,365
CTU,211437.99999999997,105726.99999999955,105711.00000000026,39828927.00000009,19918405.99999994,19910521.000000183,39828787.00000009,19918405.99999994,19910381.000000183,139.9999999999991,0.0,139.9999999999991,46.17701187701188,29.038166000665996,32.52148962148962,8700.152725052725,5567.815945165945,6436.5353479853475,8700.152725052725,5567.815945165945,6436.5353479853475,69.99999999999955,0.0,69.99999999999955,365
DTW,308674.9999999999,154335.00000000006,154339.99999999945,41388313.99999985,20693613.00000009,20694700.999999933,36884008.0,18441993.00000001,18442014.99999999,4504305.999999996,2251619.999999995,2252685.9999999837,85.2648981737217,64.32797619047619,61.508864338276105,11529.318207474615,7537.116113616397,8132.418226656874,11041.556891434551,6329.865940203587,7391.97906351533,2684.566666666666,2030.1914402485563,1666.9898263027308,365
VIE,234642.9999999988,117276.99999999964,117366.00000000097,40460733.00000038,20223066.999999896,20237666.0,446058.99999999924,220729.00000000183,225330.0000000004,40014674.00000059,20002337.99999989,20012336.0,64.18596957543826,37.39315276227042,39.70524139050012,11562.32387742976,6656.91859062506,6665.563008973342,431.0769230769231,280.5955334987593,431.0769230769231,11562.32387742976,6656.91859062506,6544.683888094221,365
HGH,311686.00000000116,155835.00000000038,155851.00000000047,56850192.00000029,28431945.999999892,28418246.000000086,51046201.99999978,25516224.999999873,25529977.00000002,5803990.000000004,2915720.999999986,2888269.000000005,62.42396214896215,43.030558330558335,44.9044289044289,11326.462445887446,7927.033888333889,8084.980619380619,10915.836815961817,6741.267221667223,7876.117993117993,2446.6394536019534,1851.2225108225102,1834.8222222222225,365
RUH,262356.9999999981,131360.0000000002,130997.00000000035,51347732.00000034,25722285.000000138,25625446.99999992,25453151.000000183,12732818.999999983,12720332.000000197,25894580.99999975,12989465.999999966,12905114.999999974,46.10164926907814,27.581951114290376,26.99358496939142,9365.307194898574,5431.59209697113,5679.862448825684,4941.663362991636,2802.6625688037457,2548.9843827414416,5550.451736420346,3416.3931230060266,3910.1435132935985,365
KIX,190465.00000000047,95204.99999999999,95259.99999999968,40599191.99999997,20253383.000000153,20345808.99999997,7856408.999999994,3928135.9999999874,3928272.9999999707,32742782.999999963,16325247.000000034,16417536.000000022,48.84949772449772,27.072438672438672,26.360181485181485,10538.681641969142,5971.121056721056,5812.096171883672,2682.0799145299143,2004.9134615384614,1891.138888888889,9842.813247863249,5971.121056721056,4939.583333333334,365
NRT,213900.9999999992,106975.00000000004,106926.00000000006,49111604.000000216,24561382.999999862,24550220.99999979,8310117.999999961,4154596.000000006,4155522.0000000177,40801485.99999995,20406786.999999974,20394698.999999907,64.73489010989012,43.22716588966589,41.085089910089906,15248.332604895106,10281.543126318129,9563.216206016205,2772.5,2067.221153846154,2638.2406565656565,13013.647928460428,9057.245049395053,8611.459362859361,365
CKG,306818.99999999825,153406.00000000026,153412.99999999977,53320200.00000002,26652385.999999963,26667813.999999996,50352158.999999985,25165993.00000001,25186166.00000002,2968040.999999998,1486393.0000000042,1481648.0000000016,61.319849594849586,40.69728327228327,45.932539682539684,11371.780397380398,6843.762795537795,7688.776190476191,11259.905397380398,6678.703452103453,7304.247619047619,1744.3666666666668,1367.0706959706968,1397.1878787878788,365
DUB,239030.9999999988,119510.9999999993,119519.99999999974,42727980.9999999,21362992.0000001,21364988.999999974,381440.00000000105,190720.00000000044,190720.00000000006,42346540.99999994,21172272.000000037,21174268.99999995,57.917124183006536,29.634160610631195,36.5974358974359,10417.556563704302,5302.4799488093595,6389.287179487179,295.24119106699754,230.35294117647058,230.35294117647058,10156.556563704302,5113.4799488093595,6389.287179487179,365
GRU,271044.9999999973,135619.99999999872,135425.00000000067,55708705.0,27865734.00000012,27842970.99999999,35522632.000000015,17766993.000000138,17755639.000000015,20186073.000000276,10098741.000000069,10087332.000000035,62.73566531507708,34.27250596897013,36.50833333333333,12544.449738868694,7771.499111084993,7883.7999213301255,9284.630065928675,5812.609676590814,5767.683333333333,5739.945440299784,5533.118231705044,3775.94654393326,365
MSP,308744.00000000326,154346.99999999983,154397.00000000114,43168578.00000016,21579682.000000026,21588895.999999963,38617847.99999969,19307777.99999995,19310069.99999997,4550729.999999982,2271904.000000015,2278825.999999988,81.20973954150423,56.64969751666047,50.574405594405604,11622.354716002952,8056.715976180682,7463.634172102408,10465.122104300928,6951.329460982889,6049.904428512663,2232.5740469208213,2213.5740469208213,2117.3999999999996,365
XIY,336281.0000000007,168257.9999999992,168022.99999999892,56373881.999999784,28203734.999999955,28170146.999999937,53829549.99999985,26929686.99999995,26899862.999999862,2544332.0000000065,1274047.9999999993,1270284.0000000112,68.31679431679432,50.23545066045065,48.94134476634476,11479.264346764347,8767.173717948717,8216.27630841381,10972.142857142859,8089.873717948719,8216.27630841381,2039.9926739926743,1310.291666666666,936.7333333333333,365
IAH,430816.0000000006,215404.9999999992,215410.9999999988,58423048.00000024,29210746.99999984,29212301.000000272,42467639.999999695,21235231.999999933,21232407.999999855,15955408.00000005,7975515.000000039,7979892.999999986,151.8987255228576,90.44513127714151,92.01472531207571,19769.973650600336,11231.517115481147,11794.315549751056,15027.846763200321,9765.194741618448,9623.164680380076,6449.445151319269,3519.2650868046258,4604.743417872449,365
SAW,266754.9999999988,133360.00000000067,133395.0000000003,56193324.99999964,28092177.99999977,28101147.000000004,23227069.000000086,11618737.999999965,11608330.999999972,32966255.999999866,16473439.999999909,16492816.000000075,49.09211430048428,29.62030180236078,29.39743557878113,10504.918468578775,6264.237257847052,6168.906469469796,6032.318200622906,4124.690209790209,4281.668166800519,7489.790462217521,6077.837257847053,5252.4935587090595,365
