iata,a_m2,a_mA,a_mD,a_s2,a_sA,a_sD,a_d2,a_dA,a_dD,a_i2,a_iA,a_iD,p_m2,p_mA,p_mD,p_s2,p_sA,p_sD,p_d2,p_dA,p_dD,p_i2,p_iA,p_iD,ndays
MCO,386488.9999999979,193225.9999999997,193263.00000000093,69551897.00000003,34772819.99999989,34779077.00000007,56297555.00000006,28144771.999999985,28152782.999999937,13254342.000000028,6628047.999999928,6626293.999999975,93.86764069119876,50.20059523809523,52.718539692680935,16864.969211311567,9194.748866996732,9306.378154133448,14238.720270015056,7422.757587183676,8172.377598782887,3996.8999155470574,3280.882023837432,2330.718036343108,365
AMS,462345.0000000017,231176.00000000116,231169.0000000003,81764105.00000012,40880763.999999374,40883340.99999977,213.0,213.0,0.0,81763892.00000012,40880550.999999374,40883340.99999977,122.2356527949175,85.79033090981862,66.78331145978206,19986.77865601378,14256.10207594898,11788.574612102035,0.0,0.0,0.0,19986.77865601378,14256.10207594898,11788.574612102035,365
BOM,324396.0000000023,162129.99999999916,162265.99999999898,64803674.99999962,32389081.99999996,32414592.999999575,44837712.99999973,22411857.99999993,22425854.99999987,19965961.99999985,9977224.000000015,9988737.999999944,47.56926406926407,30.748794261294265,33.74808802308802,9466.242113442113,6173.3217005217,6825.705494505495,7672.995768120768,4457.30695970696,5116.587412587412,6881.107142857143,3670.3674825174826,3553.1699633699627,365
DEN,679077.0000000006,339512.0000000003,339564.99999999825,98864785.99999845,49431753.999999985,49433031.999999814,92849618.99999903,46424771.999999985,46424846.99999995,6015167.000000035,3006982.000000014,3008184.999999964,185.58572579921022,113.84030012484283,116.51515070463351,27142.038132691174,16429.17401187048,16724.308126716343,25576.80553694672,15977.739374705312,15357.969647895652,3293.786097025928,2175.4000580345983,1673.7123931623937,365
FRA,426990.99999999884,213284.00000000084,213706.99999999854,80988664.99999979,40451001.00000031,40537663.99999988,8574166.0,4268091.000000009,4306074.999999984,72414498.99999955,36182910.00000008,36231589.0,107.11630225983167,59.43775440246028,59.73582260876378,19335.0529947177,11325.306051987227,12948.33333957692,3233.676548288313,1919.3227047251717,1665.0264728227307,17691.9417117523,10345.413208693462,12019.135059907412,365
JFK,432357.9999999979,216168.99999999886,216189.00000000017,77115699.00000016,38558089.000000305,38557609.99999976,33376069.999999814,16685686.999999983,16690383.000000052,43739629.000000104,21872402.00000005,21867227.000000153,85.19190365190366,50.67703133274765,51.89949295380985,16007.643022188298,9476.885425554838,9038.707183992477,8679.033734535495,4179.180671110462,4949.607675788264,10397.517529006942,6244.706200565726,6051.513023708319,365
MAD,391901.9999999991,195970.0000000011,195932.0000000012,76788946.99999985,38393379.00000012,38395567.99999989,19112142.999999937,9553208.999999942,9558933.999999983,57676804.00000037,28840170.00000017,28836634.00000011,87.39622129504482,51.55204042862087,59.387005543476114,17288.764970099663,10368.238920250044,12092.765594913431,5964.269004002534,4111.810663445685,4247.261661062682,13633.825719476517,8090.227978818569,8459.486714006136,365
HND,481212.99999999977,240455.000000001,240757.9999999992,110492888.99999985,55168528.00000012,55324361.00000022,81937656.99999988,40889467.999999925,41048189.00000005,28555232.000000022,14279060.000000034,14276171.999999974,98.71440503940504,49.99094239094239,56.05669885669886,22656.991020091024,12124.795437895438,12871.65608003108,18273.21978021978,9770.550283050283,11626.635692085692,6563.95011655012,4311.54358974359,4502.5335317460285,365
LAS,415146.0000000027,207532.99999999933,207613.00000000015,68607103.99999943,34301397.99999976,34305706.0000001,64411562.00000009,32202886.999999862,32208674.999999862,4195542.000000002,2098511.000000002,2097030.9999999877,104.56290228897686,52.801601894837184,54.9559156235173,16854.47156936586,8684.512914900919,9063.38869047619,15880.513103889574,8451.96240700476,8970.67767820552,1737.9683501192058,1156.3671372106164,1232.7270722109433,365
SIN,354017.9999999971,176998.9999999979,177019.00000000026,84850123.00000006,42421555.99999985,42428567.00000033,0.0,0.0,0.0,84850123.00000006,42421555.99999985,42428567.00000033,61.460404872904874,33.640430402930406,34.65869408369409,14460.964410589411,8760.196975246974,8424.796825396825,0.0,0.0,0.0,14460.964410589411,8760.196975246974,8424.796825396825,365
BCN,339033.99999999965,169503.99999999953,169529.99999999895,66252995.00000005,33124704.999999873,33128290.000000093,16437057.000000121,8219029.000000072,8218027.999999982,49815938.00000014,24905675.999999948,24910261.99999977,71.27251505030915,38.37643337055101,42.66790217570453,14543.717976141505,7615.763820711266,8423.880322292089,4493.242830372243,2581.9407992534925,2971.4860260654377,12262.609854067501,6124.909610418335,6731.927423338425,365
SEA,416289.9999999993,208142.9999999991,208146.99999999852,62341076.00000001,31170621.00000007,31170454.999999832,53711569.000000454,26855964.00000009,26855604.99999997,8629507.000000011,4314656.9999999935,4314849.999999965,101.04973306444572,62.51471051823994,58.99637692492036,15966.972365083151,9785.990482967607,9573.628133156937,14964.144613915494,8969.143047136784,8413.104160923229,3184.650768839004,1933.9564990564995,1932.8880785880774,365
