iata,name,country,size_m_pax_2025,screen_state,listed
BFV,BFV,,0.24,not_assessed,True
BGA,Bucaramanga,CO,2.19,not_assessed,True
BGF,Bangui,CF,0.25,not_assessed,True
BGG,BGG,,0.18,not_assessed,True
BGI,Barbados,BB,2.47,headroom,True
BGM,,US,,not_assessed,False
BGO,Bergen,NO,6.97,tightening,True
BGR,Bangor,US,0.9,not_assessed,True
BGW,Baghdad,IQ,,headroom,True
BGY,Milan,IT,15.36,tightening,True
BHB,,US,,not_assessed,False
BHD,Belfast,GB,2.41,headroom,True
BHE,,NZ,,not_assessed,False
BHH,Bisha,SA,0.39,not_assessed,True
BHI,Bahia Blanca,AR,0.22,not_assessed,True
BHJ,Bhuj,IN,0.28,not_assessed,True
BHK,Bukhara,UZ,0.51,not_assessed,True
BHM,Birmingham,US,3.62,headroom,True
BHO,Bhopal,IN,1.52,not_assessed,True
BHQ,Broken Hill,AU,0.09,not_assessed,True
BHR,,NP,,not_assessed,False
BHS,,AU,,not_assessed,False
BHU,Bhavnagar,IN,,too_short,True
BHV,,,,not_assessed,False
BHX,Birmingham,GB,12.31,headroom,True
BHY,,CN,,headroom,False
BIA,Bastia,FR,1.58,not_assessed,True
BID,,US,,too_short,False
BIK,Biak,ID,0.5,not_assessed,True
BIL,Billings,US,1.05,tightening,True
BIM,,BS,,not_assessed,False
BIO,Bilbao,ES,6.69,headroom,True
BIQ,Biarritz,FR,0.99,not_assessed,True
BIR,,NP,,not_assessed,False
BIS,Bismarck,US,0.62,not_assessed,True
BJA,Bejaia,DZ,0.47,not_assessed,True
BJF,Batsfjord,NO,,not_assessed,True
BJI,,US,,not_assessed,False
BJL,Banjul,GM,0.4,not_assessed,True
BJM,Bujumbura,BI,0.28,not_assessed,True
BJR,,ET,,not_assessed,False
BJT,,,,not_assessed,False
BJV,Bodrum,TR,3.53,tightening,True
BJW,,,,not_assessed,False
BJX,Leon/Guanajuato,MX,3.41,tightening,True
BJZ,Badajoz,ES,0.14,too_short,True
BKB,BKB,,0.06,too_short,True
BKC,,US,,not_assessed,False
BKI,Kota Kinabalu,MY,8.93,headroom,True
BKK,Bangkok,TH,62.74,headroom,True
BKO,Bamako,ML,1.31,not_assessed,True
BKS,Bengkulu,ID,0.78,not_assessed,True
BKW,,US,,not_assessed,False
BKY,,,,too_short,False
BKZ,Bukoba,TZ,0.05,not_assessed,True
BLA,,VE,,not_assessed,False
BLB,,,,not_assessed,False
BLD,,US,,not_assessed,False
BLI,Bellingham,US,0.44,not_assessed,True
BLJ,Batna,DZ,0.11,not_assessed,True
BLK,Blackpool,,,too_short,False
